Model,Precision,Recall,F1-score,Accuracy
SVM,0.9601575969613381,0.9592711845279238,0.9586041569701985,0.9592711845279238
Random Forest,0.989007073227353,0.988927407637292,0.9888107338530782,0.988927407637292
MLP Neural Network,0.986939182704317,0.9866728265316198,0.9863996279318951,0.9866728265316198
