Model,Precision,Recall,F1-score,Accuracy
SVM,0.9763284775553049,0.9754312078849443,0.9751598680871973,0.9754312078849443
Random Forest,0.9974319866127598,0.9973389989607429,0.9973379328802421,0.9973389989607429
MLP Neural Network,0.9976110741580936,0.9975443360488117,0.9975387375706116,0.9975443360488117
