Model,Precision,Recall,F1-score,Accuracy
SVM,0.9644725535249193,0.9637768200990282,0.9591631604366967,0.9637768200990282
Random Forest,0.9682148237203538,0.9675309286349082,0.9639346657891557,0.9675309286349082
MLP Neural Network,0.9875365588017398,0.987425411558916,0.9869588620560533,0.987425411558916
